x	y	z	feature_id	adjacent_bolt_dist
1483.204511894696	784.3899821171481	1281.2829331732673	00656-06	7.60149493875071
1483.9832697129737	783.5715705102598	1273.765855017093	00656-07	7.6785238576595845
1482.8790578565745	783.8803122035588	1266.1734164512793	00656-08	7.859770766130191
1481.5713102096547	786.5681566914146	1258.90421535369	00656-09	7.671550624933799
1478.7136728441537	790.1695595772673	1252.7628396990026	00656-10	7.83949805090694
1475.270771878163	795.3801905220234	1248.0243285629913	00656-11	7.729770912180804
1471.7781938537948	801.5812105586423	1245.0079387334188	00656-12	7.8712259396778075
1467.8999792161553	808.3323951566184	1243.8515843146072	00656-13	7.727724447876896
1463.94144726593	814.8953144065014	1244.839430892207	00656-14	7.712404505394938
1459.8779572367557	820.7314115755715	1247.824259508863	00656-15	7.788117934458547
1456.5202773450158	825.924830786737	1252.5580913185852	00656-16	7.686832311179572
1454.5686519402955	830.381727482923	1258.5091098111939	00656-17	7.674658938357457
1453.069950145203	833.1127592938366	1265.5230778747991	00656-18	7.757185570879818
1452.0822675982597	833.8438157125871	1273.182318547355	00656-19	7.983421909512429
1452.7070175878673	832.9498883101759	1281.090896588633	00656-20	7.62214350385357
1454.554108435837	830.9244084914117	1288.2030522742507	00656-21	7.837209763473132
1457.4301913628458	827.0112791058256	1294.3542653485401	00656-22	7.5595671374043345
1460.7361401906442	821.9177174062941	1298.856863139368	00656-23	7.8915229456257565
1464.2701426443164	815.7026037915703	1302.197420550168	00656-24	7.810375512569501
1468.3180562193963	809.0627733433039	1369.764997156827	00657-01	7.917911565108703
1472.2946982090405	802.3304290445831	1368.5179276789859	00657-02	7.771657803698021
1475.7525991618002	796.0265996276962	1365.5677885803202	00657-03	7.566321284624279
1479.0465721555036	790.9991574029153	1360.9717267470328	00657-04	7.7010557073867565
1481.7391026670614	787.087535442716	1354.9090745144624	00657-05	7.7498311119323375
1482.9445449610114	784.3701951461472	1347.7520602730294	00657-06	7.713486106970684
1483.4891565222654	783.7102535035995	1340.0861785104264	00657-07	7.670226998714588
1482.696540340436	784.244181304831	1332.4757210403932	00657-08	7.820519559243055
1481.211304576449	786.8419169247964	1325.2503234353724	00657-09	7.738230569147682
1478.6794214884328	790.7494666228587	1319.069640970864	00657-10	7.713764492995276
1475.1773144002907	795.8439162488565	1314.456183308248	00657-11	7.876914544700508
1471.7285712968096	802.2233912779132	1311.3814065514168	00657-12	7.826880212078424
